id,city,state_id,street,street2,zip
__export__.res_partner_97713,VERACRUZ,Veracruz,CARRETERA FED CORDOBA VERACRUZ KM 343,ZONA INDUSTRIAL,94690
__export__.res_partner_97748,SAN PEDRO TLAQUEPAQUE,Jalisco,REPUBLICA DE COLOMBIA 214,COLONIAL TLAQUEPAQUE,45570
__export__.res_partner_102069,GUADALAJARA,Jalisco,LAZARO CARDENAS NO 216,COLONIAL,45570
__export__.res_partner_97714,SAN PEDRO TLAQUEPAQUE,Jalisco,REP. DE COLOMBIA 214,COLONIAL TLAQUEPAQUE,45570
__export__.res_partner_97749,MICHOACAN,Michoacán,CARR MORELIA SALAMANCA 7555 B,CUESTA PRIETA,59720
__export__.res_partner_97750,ZAMORA,Michoacán,LIBRAMIENTO NORTE KM. 11.5,LOCALIDAD ROMERO TORRES,59720
__export__.res_partner_115895,ZAMORA,Michoacán,"CARRETERA ZAMORA-LA BARCA KM. 5.5 LIBRAMIENTO NORTE,",LA RINCONADA,59724
__export__.res_partner_97715,SAN JOSE DEL CABO,Baja California Sur,CASCALOZUCHITL SIN NUMERO,BUENOS AIRES,23400
__export__.res_partner_97751,MAZATLAN,Sinaloa,AVENIDA DELFINES Y CALLE FRESNO LOCALES 4 Y 5,FRACCIONAMIENTO TORREMOLINOS,82132
__export__.res_partner_97752,MEXICO,México,CARRETERA TOLUCA -ATLACOMULCO 1710,"BARRIO DE JESUS LA PIPITILLA, SAN PABLO",50200
__export__.res_partner_97716,CD GRAL ESCOBEDO,Nuevo León,CARR MONTERREY COLOMBIA NO 330,HACIENDA ANTIGUA CANADA,66083
__export__.res_partner_97753,NUEVO LEON,Nuevo León,CARRETERA MONTERREY-COLOMBIA 330,HACIENDA ANTIGUA CANADA,66083
__export__.res_partner_97717,RAMOS ARIZPE,Coahuila,SERVIDUMBRE 745,LA ESMERALDA,25902
__export__.res_partner_97754,TUXTLA GUTIERREZ,Chiapas,CALLE 5A. ORIENTE SUR 82,SAN ROQUE,29066
__export__.res_partner_97755,TUXTLA GUTIERREZ,Chiapas,5A OTE SUR 882 ENTRE 7A Y 8A,CENTRO,29040
__export__.res_partner_107014,TAPEIXTLES,Colima,CARRET. MANZANILLO-MINA KM 4.5 S/N RANCHO LA PAROTA,POBLADO FRANCISCO VILLA,28863
__export__.res_partner_106882,TUXPAM DE RODRIGUEZ CANO,Veracruz,"MARGEN DERECHO DEL RIO TUXPAN LOTE 9, 10 Y 11 MANZANA 5",LA VICTORIA,92770
__export__.res_partner_97756,PUEBLA,Puebla,AUT.MEXICO-PUEBLA KM 117+300,SAN LORENZO ALMECATLA,72710
__export__.res_partner_97757,PUEBLA,Puebla,AUT. MEXICO-PUEBLA KM. 117 + 300,SAN LORENZO ALMECATLA,72710
__export__.res_partner_97758,CORDOBA,Veracruz,CARRETERA FED. CORDOBA VERACRUZ,KM343 VH PENUELA ZONA INDUSTRIAL,94690
__export__.res_partner_97718,VILLAHERMOSA,Tabasco,CARRETERA VILLAHERMOSA CARDENAS KM 156,RANCHERIA GONZALEZ 1ERA SECC.,86280
